#FMR data, this file includes calibration measurements, correction factor and corrected S11
S11a	S11m	S11o	S11l
(170.458941373-36.392544139527274j)	(284.3559209653636-349.07844404754553j)	(170.29863669654546-35.566708304672716j)	(76.51627349852727-36.054924358j)	
(41.13476527821818+7.946837902068181j)	(61.568048303781815+36.4000091552909j)	(40.994410081363625+7.941809610890001j)	(29.11261419813636-11.52830566058182j)	
(16.552975221136364+24.811928835790912j)	(8.821268428451818+40.25766233966364j)	(16.49715614322727+24.749565991490908j)	(24.65960433262727+9.47023842551273j)	
(36.88792107320909+42.23075970737274j)	(11.831132975454546+57.180948084036366j)	(36.81238209115454+42.07767868044546j)	(71.60158816248182+26.9789387096j)	
(56.05180324208182+1.5516809875354547j)	(32.04578503695455+24.31758516487273j)	(55.880623557372736+1.4308771870354546j)	(94.91809706254544-30.82006402451819j)	
(16.82887718898182-10.462730667827271j)	(7.383776404640909-3.6486120874227277j)	(16.779372128572724-10.512440768190908j)	(33.601454994936354-16.103305469854536j)	
(13.994249170472727+0.42018690434363626j)	(4.091849587177274+0.48620555617636363j)	(13.993075023963637+0.33713158423227274j)	(25.101163864118185+8.196980302983635j)	
(51.10398587311819-6.697239919143636j)	(28.437082290636365-20.096670497581826j)	(51.213112571009106-6.763454307207273j)	(57.67133123224546+27.53731519522727j)	
(63.86240456320907-62.683617678572716j)	(27.794050736836375-71.61903311990001j)	(63.98009490968183-62.778635892018194j)	(93.1121382280182-16.620372425472727j)	
(37.271166714745455-37.0433242104091j)	(19.43745422364545-56.522394353699994j)	(37.30795114694546-37.042073683318186j)	(37.60198835895456-14.026766950463637j)	
(45.43425716056365-5.702118786899999j)	(74.55178139425456-48.536313837227276j)	(45.48069520433636-5.589391491632728j)	(26.950958425327265+3.60646052793909j)	
(90.31999622688181+28.854232961499996j)	(171.41227028545453+88.86195789684548j)	(90.19932972302728+29.062300942136364j)	(55.371960379845454+14.468962409263638j)	
(109.22937081063635+17.742927377918186j)	(146.83332963436365+108.22157911845453j)	(109.0381525210909+18.091685381772727j)	(76.2970560247182-6.482294689522724j)	
(51.6201907071+8.026336409832727j)	(38.5942594354909+47.040575547627284j)	(51.49189064719091+8.064167456196364j)	(44.78956846755454-11.681855808600003j)	
(27.81604038588182+13.376133832081818j)	(12.606195016327273+26.406396519054535j)	(27.769896940763633+13.35987160423636j)	(34.31589750812727+1.6021545908699997j)	
(38.60972075027273+15.767387216763636j)	(16.530643809890908+23.736573479390906j)	(38.57088713211819+15.714107860245456j)	(56.81373284077272+7.7745573737418185j)	
(45.6414579912+0.1613248356365455j)	(18.189409429409093+5.3618552901554555j)	(45.655008836236355+0.1227435300297273j)	(70.81389895348181-4.268092372199089j)	
(28.321013363909085-5.074668060645453j)	(10.92988829180909-7.576932430269091j)	(28.298256960772722-5.1212080608690895j)	(42.84923137317273-1.2475505525463633j)	
